CODIGO,DESCRIPCION,Atributos_JSON
1502,PEDESTAL DE PLASTICO DE 90 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": """",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": ""Blanco""
  },
  ""formato"": null,
  ""flor_principal"": null,
  ""color_principal"": ""Blanco"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
1715,COPA DE PLASTICO DE 50*30*23 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": ""Crema""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": """",
  ""color_principal"": ""Crema"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
LH-01-F,ARTICULO DE FIESTA TIPO FLOR DE 60 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 5,
    ""letra_distintiva_flor"": ""[Letra inicial de la flor]"",
    ""variante_color"": ""[Nombre corto del color]""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Flor de papel"",
  ""color_principal"": ""Multicolor"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
LH-01-C,ARTICULO DE FIESTA TIPO CORAZON DE 60 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 5,
    ""letra_distintiva_flor"": ""C"",
    ""variante_color"": ""Surtido""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Corazón"",
  ""color_principal"": ""Multicolor"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
EU-V,HOJA ARTIFICIAL DE DINERO DE RAMA ALTA DE 90 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 1,
    ""letra_distintiva_flor"": ""H"",
    ""variante_color"": ""Verde""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Hoja de Dinero"",
  ""color_principal"": ""Verde"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
TN-01,TENEDOR DE METAL DE 20 CM (SET/6PCS),"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": null,
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": null,
    ""variante_color"": ""Dorado""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": null,
  ""color_principal"": ""Dorado"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
CU-01,CUCHILLO DE METAL DE 23 CM (SET/6PCS),"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": """",
    ""numero_cabezas_contadas"": 0,
    ""letra_distintiva_flor"": """",
    ""variante_color"": ""Dorado""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Ninguna"",
  ""color_principal"": ""Dorado"",
  ""hojas_propias"": false,
  ""follaje_extra_relleno"": false
}"
TN-02,FLOR ARTIFICIAL EN VARA X 3 DE 85 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""VAR"",
    ""numero_cabezas_contadas"": 3,
    ""letra_distintiva_flor"": ""D"",
    ""variante_color"": ""RosaJaspeado""
  },
  ""formato"": ""Ramo solo"",
  ""flor_principal"": ""Dalia"",
  ""color_principal"": ""Rosa"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
TN-03,FLOR ARTIFICIAL EN VARA X 3 ROSA DE 35 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 21,
    ""letra_distintiva_flor"": ""R"",
    ""variante_color"": ""Multicolor""
  },
  ""formato"": ""Ramo solo"",
  ""flor_principal"": ""Rosa"",
  ""color_principal"": ""Multicolor"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
TN-04,ESPIGA ARTIFICIAL DE 80 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 9,
    ""letra_distintiva_flor"": ""E"",
    ""variante_color"": ""Rosa""
  },
  ""formato"": ""Unidad"",
  ""flor_principal"": ""Espiga"",
  ""color_principal"": ""Rosa"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
TN-05,FLOR ARTIFICIAL EN VARA DE 80 CM,"{
  ""analisis_inventario"": {
    ""prefijo_importadora"": ""[Prefijo]"",
    ""numero_cabezas_contadas"": 30,
    ""letra_distintiva_flor"": ""B"",
    ""variante_color"": ""Rosa""
  },
  ""formato"": ""Ramo solo"",
  ""flor_principal"": ""Buganvilla"",
  ""color_principal"": ""Rosa"",
  ""hojas_propias"": true,
  ""follaje_extra_relleno"": false
}"
V-GRS5-01,FLOR ARTIFICIAL GIRASOL EN VARA X 5 CABEZAS DE 1.05 MTS,
GRS7-02,FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 50 CM,
GUIA-GIRASOL,GUIA ARTIFICIAL GIRASOL DE 1.50 MTS,
RMH9-01,FLOR ARTIFICIAL DE AVISPA EN RAMO X 9 CABEZAS DE 50 CM,
RUY-13,FLOR ARTIFICIAL ROSA GUADALUPE EN VARA DE 50 CM,
RUY-15,FLOR ARTIFICIAL ROSA EN VARA X 5 CABEZAS DE 108 CM,
RUY-CH,FLOR ARTIFICIAL EN VARA X 7 CABEZAS DE 40 CM,
XHD-01,FLOR ARTIFICIAL COLGANTE DE 90 CM,
FAR-02,FLOR ARTIFICIAL TIPO SAYURI X 9 CABEZAS DE 57 CM,
FAR-6,FLOR ARTIFICIAL TIPO PHALAENOPSIS GRANDE X 8 CABEZAS DE 100 CM,
YQ12-H17,FLOR ARTIFICIAL ROSA ALEGRE EN RAMO X 12 CABEZAS DE 43 CM,
YQ10-AN,FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 42 CM,
YQ10-MN,FLOR ARTIFICIAL EN RAMO X 10 CABEZAS CHICO DE 42 CM,
CA-NINO,"CAMAROTE DE MADERA MEDIDAS 900*1050*1200/1320*1470*1620/2070*1900/1825 MM (BARANDILLA DELANTERA, MESITA DE NOCHE, PIE DE CAMA, REPOSABRAZOS, BARRAS  LATERALES, QUILLA DE CAMAROTE, TABLERO PARA COLCHON)",
MUM-01,"COLCHON, 180*200*24 CM",
MUM-02," CAMA DE MADERA MEDIDAS:189*219*116 CM  (CABEZERA,RESPALDAR,TABLERO PARA COLCHON)",
MUM-03, MESITA DE NOCHE DE MADERA 50*40*46 CM,
MUM-N120,"COLCHON, 120*190*7 CM",
MUM-N90,"COLCHON, 90*190*77 CM",
RUY-CHR,FLOR ARTIFICIAL EN VARA DE 50 CM,
RUY-GDR,FLOR ARTIFICIAL EN VARA DE 50 CM,
RUY-MDP,FLOR ARTIFICIAL EN VARA DE 50 CM,
RYG11-2025,FLOR ARTIFICIAL MAGNOLIA EN RAMO X 11 CABEZAS DE 42 CM,
RYG9-301N,FLOR ARTIFICIAL JASPE DE OTOÑO EN RAMO X 9 CABEZAS DE 40 CM,
RYG11-703N,FLOR ARTIFICIAL QIUJU EN RAMO X 11 CABEZAS DE 42 CM,
RYG11-226N,FLOR ARTIFICIAL ROSAS DE TE DE OTOÑO X 11 CABEZAS DE 42 CM,
RYG12-307N,FLOR ARTIFICIAL CLAVELES EN RAMO X 12 CABEZAS DE 42 CM,
RYG9-228N,FLOR ARTIFICIAL COPO DE NIEVE EN RAMO X 9 CABEZAS DE 40 CM,
RYG11-703N,FLOR ARTIFICIAL QIUJU EN RAMO X 11 CABEZAS DE 42 CM,
KJL-01N,FLOR ARTIFICIAL DE PLASTICO DE 38CM,
KJL-02N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-03N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-04N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-05N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-06N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-07N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-08N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-09N,FLOR ARTIFICIAL DE PLASTICO DE 38 CM,
KJL-10N,FLOR ARTIFICIAL DE PLASTICO DE 63 CM,
HS-06N,FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 45 CM,
TNK20-01,FLOR ARTIFICIAL EN VARA X 18 CABEZAS DE 55 CM,
TNK5-02,FLOR ARTIFICIAL EN RAMO CHICO DE 27 CM,
TNK5-03,FLOR ARTIFICIAL EN RAMO CHICO DE 28 CM,
TNK5-04,FLOR ARTIFICIAL EN RAMO CHICO DE 27 CM,
TNK5-05,FLOR ARTIFICIAL EN RAMO CHICO DE 25 CM,
RYG5-A,FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM,
RYG5-B,FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM,
RYG5-C,FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM,
RYG9-BJ,FLOR ARTIFICIAL EN RAMO X 9 CABEZAS DE 44 CM,
RYG10-RS,FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 46 CM,
RYG10-XA,FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 38 CM,
RYG10-224,FLOR ARTIFICIAL ROSA DE GINEBRA EN RAMO X 10 CABEZAS DE 40 CM,
RYG11-H09,FLOR ARTIFICIAL ROSA EN RAMO X 11 CABEZAS DE 45 CM,
TN-01N,FLOR ARTIFICIAL EN VARA CARTUCHO DE 60 CM,
YQ12-H17,FLOR ARTIFICIAL EN RAMO X 12 CABEZAS DE 42 CM,
YQ10-AN,FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 42 CM,
OY-CH,HOJA ARTIFICIAL DE 100 CM,
HSX-01,FLOR ARTIFICIAL EN GUIA DE 180 CM,
HSX-02,FLOR ARTIFICIAL EN GUIA DE 160 CM,
HSX-03,FLOR ARTIFICIAL EN GUIA DE 170 CM,
RO5T-01,FLOR ARTIFICIAL EN RAMO HORTENSIAS DE JAPON X 5 CABEZAS 49 CM,
PL-1716,ADORNO DE PLASTICO TIPO REJA DE 22*12*55.5CM,
JQ-01N,PISTOLA DE SILICONA (220 V) DE 20 CM*16.5 CM,
JQ-02N,BASE PARA PISTOLA DE SILICONA,
JQ-03N,PISTOLA DE SILICONA (220 V) DE 19 CM*16 CM,
DD-01N,PASTO ARTIFICIAL DE 2 MTS*25 MTS,
DD-02N,PASTO ARTIFICIAL DE 2 MTS * 100 MTS,
YDC,COCHE PARA CAMPO EN TUBO DE HIERRO CON TELA DE 86*50*95 CM,
BW,CANASTA EN TELA Y ALUMINIO DE 30 L,
HYG-01-1,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-2,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-3,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-4,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-5,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-6,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-01-7,LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS),
HYG-02-1,LAMINA DE PAPEL BOPP DE 50 CM*8 Y,
HYG-02-2,LAMINA DE PAPEL BOPP DE 50 CM*8 Y,
HYG-03,LAMINA DE PAPEL BOPP DE 50*70 CM (PQT/20PCS),
HYG-04,LAMINA DE PAPEL BOPP DE 39*54 CM (PQT/15PCS),
HYG-05,LAMINA DE PAPEL BOPP DE 60*60 CM (PQT/50PCS),
HYG-06,LAMINA DE PAPEL BOPP DE 58*20 MTS,
HYG-07,LAMINA DE PAPEL BOPP DE 58*58 CM (PQT/15PCS),
HYG-08,LAMINA DE PAPEL BOPP DE 50*50 CM (PQT/40PCS),
HYG-09,LAMINA DE PAPEL BOPP DE 50*55 CM (PQT/10PCS),
HYG-10,LAMINA DE PAPEL BOPP DE 50*70 CM (PQT/20PCS),
HYG-11,LAMINA DE PAPEL BOPP DE 60*60 CM (PQT/5PCS),
HYG-12-1,LAMINA DE PAPEL BOPP DE 53*53 CM (PQT/10PCS),
HYG-12-2,LAMINA DE PAPEL BOPP DE 53*53 CM (PQT/10PCS),
HYG-13,LAMINA DE PAPEL BOPP DE 30*30 CM (PQT/50PCS),
HYG-14,BOLSA PARA FLORES EN PAPEL KRAFT  DE 16.5*40 CM (PQT/30PCS),
HYG-15,BOLSA PARA FLORES EN CELOFAN DE 15*48 CM (PQT/10PCS),
HYG-16,BOLSA PARA FLORES EN CELOFAN DE 52.5*30 CM (PQT/20PCS),
HYG-17,BOLSA PARA FLORES EN CELOFAN DE 60*15 CM (PQT/20PCS),
HYG-18,BOLSA PARA FLORES EN CELOFAN DE 33*33 CM (PQT/10PCS),
HYG-19,BOLSA PARA FLORES EN CELOFAN DE 47*34*19 CM (PQT/10PCS),
HYG-20,ADORNO DE PLASTICO TIPO FLORERO  DE 12.7*24.3*10 CM,
HYG-21,ADORNO DE PLASTICO TIPO PILETA DE 68.5*38.5*63 CM (SET/4PCS),
HYG-22,FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 22.5*18 CM,
HYG-23,FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 17*7.5*32.5 CM (PQT/10PCS),
HYG-24,FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 20*9*24 CM (PQT/10PCS),
HYG-25,LAMINA DE PAPEL BOPP DE 50*56 CM (PQT/40PCS),
HYG-26,ADORNO DE PAPEL  DE 50*37 CM (PQT/10PCS),
HYG-27,ADORNO DE PAPEL TIPO MARIPOSA DE 50*56 CM (PQT/10PCS),
HYG-28-1,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-28-2,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-28-3,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-28-4,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-28-5,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-28-6,CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS,
HYG-29,ADORNO DE PLASTICO PARA FLORES TIPO MARIPOSA DE 28*32.5 CM (PQT/3PCS),
HYG-30,ADORNO DE PLASTICO PARA FLORES TIPO CIRCULAR DE 21*25 CM (PQT/2PCS),
HYG-31,ADORNO DE PLASTICO PARA FLORES TIPO CORAZON DE 33*31 CM (PQT/3PCS),
HYG-32,"GLOBO METALICO DE 18"" (PQT/20PCS)",
HYG-33,PORTA TARJETERO DE METAL DE 3.5*34 CM (PQT/10PCS),
HYG-34,ROLLO DE ALAMBRE RECUBIERTO DE PAPEL DE 200 MTS,
HYG-35,TARJETAS DE PAPEL DE 26*36 CM (PQT/4PCS),
HYG-36,FOLLAJE DE FLOR PLASTICO DE 11.5*1.7 CM + 34*0.63 CM (PQT/100PCS),
ZP,"CARPA 40% POLIETILENO, 60% POLIESTER, 30%  14*30*3.70 MTS (INCLUYE SUS ACCESORIOS PARA ARMAR) ",
ZP-06 ,"CARPA PARA DEPOSITO 12*40 MTS 40% POLIETILENO, 60% POLIESTER (INCLUYE SUS ACCESORIOS PARA ARMAR) ",
TY-01N,SOMBRILLA CON LUCES 7 MTS DE DIAMETRO,
OY-01,HOJAS ARTIFICIALES 80 CM,
OY-CH,HOJAS ARTIFICIALES 1 MT,
OY-ILC,FLORES ARTIFICIALES EN VARA 60 CM,
OY-FL,FLORES ARTIFICIALES EN RAMO X 7 CABEZAS 42 CM,
WS-693S,JACUZZI 2150*2150*900 MM,
WS-1233,CUARTO DE SAUNA 2200*2000*2100 MM,
PTA-LED,PISO LED 50*50 CM,
SILLA-01,SILLA DE METAL 89*50*53 CM,
MSA-01,MESA DE MADERA CIRCULAR ARMABLE D360*90CM*75 CM (4 PCS),
MSA-02,MESA DE MADERA RECTA 240*120 CM,
SILLA-02,SILLA DE METAL Y PLASTICO 88*45*50 CM,
MSA-03,MESA DE METAL Y PLASTICO 240*76 CM,
D160,MESA CIRCULAR DE METAL DE 160 CM DE DIAMETRO,
D120,MESA CIRCULAR DE METAL DE 120 CM DE DIAMETRO,
D360,MESA CIRCULAR DE METAL DE 360 CM DE DIAMETRO * 90 CM,
SLA-01,SILLA DE METAL 89*50*53 CM,
MSA-04,MESA DE METAL DE 240 CM DE DIAMETRO * 100 CM,
SLA-02,SILLA DE METAL  90*50*53 CM,
D180,MESA CIRCULAR DE METAL DE 180 CM DE DIAMETRO,
EST-01,MODULO PARA PANTALLA LED (ESTRUCTURA DE ALUMINIO) DE 12 * 6 MTS,
EST-02,ESTRUCTURA DE ALUMINO DE 2.90 * 4.00 MTS,
CN-8130-RQ-GS260,OLLA AUTOMATICA GS260 DE 510*800*1350 MM,
CN-8130-RQ-GS300,OLLA AUTOMATICA GS300 DE 550*800*1350 MM,
PAN,"PANTALLA LED EN GABINETE DE ALUMINIO FUNDIDO PARA EXTERIORES, INCLUYE ACCESORIOS  500*1000 MM  ",
8618B,MAQUINA DE HELADOS DE 550*760*1360 MM ,
135N,CILINDRO PARA UTILIZAR CON CARBON DE 135*80 CM,
140N,CILINDRO PARA UTILIZAR CON CARBON DE 140*100 CM,
BJ-1216,PORTA MACETAS DE JARDIN P/12 MACETAS DE METAL 64*38*144 CM,
1703,PEDESTAL DE PLASTICO DE 90 CM,
1502,PEDESTAL DE PLASTICO DE 90 CM,
1715,COPA DE PLASTICO INCLUYE PARTE DE COPA DE 50*30*23 CM,
JLP-AG,FLORERO DE PLASTICO DE 84.5*21.8 CM,
JLP-VL,ADORNO TIPO VELA DE PLASTICO DE 15*22* 29 CM SET/3 PCS,
2036,FLORERO TIPO CANASTA DE PLASTICO DE 26*12 CM,
2035,FLORERO TIPO CANASTA DE PLASTICO DE 26*12 CM,
JLP-CA,"ADORNO TIPO CANDELABRO DE PLASTICO DE 112*102*9 CM, 2*82*72 CM",
2042-CH,FLORERO DE PLASTICO DE 22.3*14 CM,
2049-M,FLORERO DE PLASTICO DE 29.3*15.6 CM,
2048-G,FLORERO DE PLASTICO DE 37*18.8 CM,
2056-G,FLORERO DE PLASTICO DE 29.5*10 CM,
2057-M,FLORERO D PLASTICO DE 24.5*10 CM,
2058-CH,FLORERO DE PLASTICO DE 19.5*10 CM,
018-MA,MACETERO DE PLASTICO DE 37.5*23.5 CM,
4004-HN,FLORERO DE PLASTICO DE 27*22.5 CM,
2007A-HR,FLORERO DE PLASTICO DE 22*13.5 CM,
PL-1716,ADORNO DE PLASTICO TIPO REJA DE 22*12*55.5 CM,
E-H-VC,HOJAS ARTIFICIALES DE 15 CM VERDE CLARO SET/10 PCS,
E-H-VO,HOJAS ARTIFICIALES DE 15 CM VERDE OSCURO SET/10 PCS,
HY-03,HOJA ARTIFICIAL EN VARA DE PLASTICO DE 67 CM SET/12 PCS,
OY-CH,HOJAS ARTIFICIALES DE 1 MT,
FAR-J,FLOR ARTIFICIAL ORQUIDEA DE 100 CM,
RUY-CH,FLOR ARTIFICIAL EN VARA X 7 CABEZAS DE 40 CM,
GRS7-02,FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 50 CM,
TND-5000VA,"ESTABILIZADOR, MARCA PLAL JUNLING, MODELO TND-5000VA, CON VOLTAJE DE 5000W",
Q-40,BOLA DECORATIVA DE NAVIDAD DE 40 CM,
Q-60,BOLA DECORATIVA DE NAVIDAD DE 60 CM,
Q-80,BOLA DECORATIVA DE NAVIDAD DE 80 CM,
Q-100,BOLA DECORATIVA DE NAVIDAD DE 100 CM,
505-600W,BOMBA DE AIRE DE IMPULSO ELECTRICO,
HTB,SOLDADO NOGAL TELESCOPICO ELECTRICO Y MUSICA LUMINOSA DE 160 CM (XM-2023067A),
JIL,PEDESTAL DE PLASTICO DE 35*92 CM,
JIL-78-G,MACETERO DE PLASTICO DE 42*33 CM,
JIL-78-CH,MACETERO DE PLASTICO DE 34*26.5 CM ,
FG-Q4,FLORERO DE PLASTICO DE 35*20.5*28 CM,
YSJ,FLORERO DE PLASTICO DE 26*25 / 31*32 /37*38.5 CM (SET 3/PCS),
FSY-1,FLORERO DE PLASTICO DE 41.5*24*58 CM,
AB-240,ARBOL DE NAVIDAD DE 3 MTS (A/B),
FA-2M,FAROL DE NAVIDAD DE 2 MTS,
WLS-P48+8,"LUZ ESTROBOSCOPICA LED RGBW DE 48+8 CANALES PARA EVENTOS, CON DIMENSIONES DE 46*25*10 CM, CON UN VOLTAJE DE 36V Y UNA POTENCIA DE 200W (CONTIENE: LAMPARAS: 864 LED TRICOLOR SMD 5050 Y 96 LED BLANCOS; 1 CONTROL DMX512, AUTOMATICO CON CONTROL POR VOZ Y FUNCION RDM.


",
YJ8392,RESOLUCION 1308-2024 JUGUETES BLOQUES DE CUBOS ARMABLES IMANTADOS  ,
SW-HL10,LUZ LASER DE ANIMACION A TODO COLOR CON EFECTOS RGV DE 10W Y 30K CON BLUETOOTH. MARCA SAILWIN,
SP-CSM2,"MAQUINA DE CHISPAS FRIAS GIRATORIA DE DOBLE CABEZAL SP, CUENTA CON UNA POTENCIA DE SALIDA DE 1300W, CONTROL DMX512 Y CONTROL REMOTO INALAMBRICO. MARCA SPARK SPECIAL EFFECTS, MODELO SPARK: SP-CSM2",
DJ-620,"MAQUINA DE HUMO DE DOBLE ATOMIZADOR. MARCA DJPOWER, MODELO DJ-620",
HW-IP4,"MAQUINA DE BURBUJAS DE NIEBLA DE 4 CABEZALES A PRUEBA DE LLUVIA (CONTIENE: PANEL DE CONTROL DE LA MAQUINA, CONSOLA DE CONTROL DE LUZ, CONTROL REMOTO UNICO. MARCA DJPOWER, MODELO HW-IP4",
BL-150,PELOTA INFLABLE DE 1.5 MTS,
BL-120T,PELOTA INFLABLE DE 1.2 MTS,
BL-150T,PELOTA INFLABLE DE 1.5 MTS,
5738,"RESOLUCION 3714-2025   JUEGO. DE MESA ROMPE HIELO  CON  BLOQUES HIELO, PINGUINOS, ROMPEHIELOS. DE PLASTICO 30*6.5*20.7CM",
70,"RESOLUCION 7103-2023 
CASA DIDACTICA CON BLOQUES PARA ENCAJAR DE MADERA, 27.2*20.2*19.3CM ",
1036,RESOLUCION 7103-2023 SET DE BLOQUES CON FIGURAS GEOMETRICAS DE MADERA .  88*8*64CM,
296,"RESOLUCION 7103-2023 
TABLERO COCODRILO CON BLOQUES PARA ENCAJAR DE MADERA. 31*11.5*13.5CM",
295,"RESOLUCION 7103-2023 TABLERO ELEFANTE CON BLOQUES 
PARA ENCAJAR DE MADERA . 21*16.5*13.5CM
",
1,"RESOLUCION 7103-2023 
TABLERO DE DAMAS DE MADERA. 23.5*4*20.7CM
",
649,"RESOLUCION 7103-2023 
TABLERO DE DAMAS DE MADERA .  19*5.5*19CM ",
YY-62,RESOLUCION 7103-2023 JUEGO DE EQUILIBRIO LABERINTO CON BOLITA . 34.3*30.3*7.8CM,
YL073,RESOLUCION 2440-2024  JGTE. DIDACTICOS ARBOL PISTA CON CARROS MULTIFUNCIONAL. 38*21*5.8CM,
